NLI          DI           LI           NLO          DO           LO           DIO          S            NLE          MF           FVI         
6            14           20           7            34           25           17.5         8.4226       0.4824       1.8479       8.8649      
8            17           20           4            33           12           19           5.0126       0.0309       0.6244       10.7339     
8            17           24           8            26           14           20           15.1498      0.0547       1.6494       10.5183     
8            17           24           7            26           14           20           13.3147      0.0514       1.454        10.6052     
8            17           25           7            26           28           20           25.54        0.4341       2.3798       7.9482      
8            17           24           7            33           27           20           20.0851      0.4114       1.9536       7.9418      
8            17           24           8            26           27           20           27.6554      0.4506       2.6565       8.24        
8            17           22           8            35           26           20           19.7227      0.3396       2.0573       7.8723      
